miRNA	miRBase	small melocule	FDA	DB	CID	Detection method 	Species	Condition	PMID	Year	Reference	Support	Expression pattern of miRNA	
miR-21	MIMAT0000790	Aristolochic acid 	NULL	NULL	2236	Microarray 	Rattus norvegicus 	kidney	25106556	2014	Tissue-specific microRNA responses in rats treated with mutagenic and carcinogenic doses of aristolochic acid	A total of 19 kidney and 1 liver miRNA (out of 247 detectable miRNAs) were differentially expressed between the treatment and the control groups (Table 1).	up-regualted	
miR-21	MIMAT0001787	Perfluorooctane sulfonate 	NULL	NULL	74483	Microarray	Danio rerio 	zebrafish embryos	20878907	2011	MicroRNA expression changes during zebrafish development induced by perfluorooctane sulfonate.	Among the detectedmiRNAs, 39 and 81 miRNAs were differentially expressed at 24 and 120 hpf respectively (Fig. 2, Table S1, see Supporting Information).(perfluorooctane sulfonate 24 hpf)	down-regulated	
miR-21	MIMAT0001787	Perfluorooctane sulfonate 	NULL	NULL	74483	Microarray	Danio rerio 	zebrafish embryos	20878907	2011	MicroRNA expression changes during zebrafish development induced by perfluorooctane sulfonate.	Among the detectedmiRNAs, 39 and 81 miRNAs were differentially expressed at 24 and 120 hpf respectively (Fig. 2, Table S1, see Supporting Information).(perfluorooctane sulfonate 120 hpf)	up-regulated	
miR-21 	MIMAT0000076	Morphine	approved	DB00295	5288826	Microarray	Homo sapiens 	human monocyte-derived macrophages (h-mdms) infection with HIV-1	20564181	2010	Morphine treatment of human monocyte-derived macrophages induces differential miRNA and protein expression: impact on inflammation and oxidative stress in the central nervous system.	Approximately, 26 miRNAs exhibited differential expression with log2 values ± 0.6 range (p < 0.01) (Fig. 1B). 	down-regulated	
miR-21 	MIMAT0000076	CDF(analogues of curcumin)	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	pancreatic cancer	21408027	2011	Anti-tumor activity of a novel compound-CDF is mediated by regulating miR-21, miR-200, and PTEN in pancreatic cancer.	Over-expression of miR-21 was observed in MIAPaCa-2 tumors whereas we found a significant reduction in the expression of miR-21 in tumors treated with either CDF alone or in combination with CDF and gemcitabine. 	down-regulated	
miR-21 	MIMAT0000076	CDF(analogues of curcumin) + gemcitabine	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	pancreatic cancer	21408027	2011	Anti-tumor activity of a novel compound-CDF is mediated by regulating miR-21, miR-200, and PTEN in pancreatic cancer.	Over-expression of miR-21 was observed in MIAPaCa-2 tumors whereas we found a significant reduction in the expression of miR-21 in tumors treated with either CDF alone or in combination with CDF and gemcitabine. 	down-regulated	
miR-21*	MIMAT0004494	Ginsenoside Rh2 	NULL	NULL	119307	Microarray 	Homo sapiens 	NSCLC cell line A549	23152132	2013	Ginsenoside Rh2 mediates changes in the microRNA expression profile of human non-small cell lung cancer A549 cells.	Using miRNA microarray analysis, we identified 44 and 24 miRNAs displaying changes in expression greater than 2-fold in Rh2-treated A549 cells	down-regulated	
miR-21*	MIMAT0004628	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(4 h after)	up-regulated	
miR-21*	MIMAT0004628	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(8h after)	up-regulated	
miR-21*	MIMAT0004628	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(24h after)	up-regulated	
miR-21*	MIMAT0004628	Doxorubicin	approved	DB00997	31703	Microarray	Mus musculus	heart	22859947	2012	Perturbation of microRNAs in rat heart during chronic doxorubicin treatment.	Five of these microRNAs (miR-208b,miR-215, miR-216b, miR-34c and miR-367) displayed a consistent dose-dependent response to DOX at 2 and 4 weeks and were thus chosen as candidates for further expression profiling across the larger in vivo study treatment groups including co-treatment of DOX with DZR and treatment with EPS only (Figure 3).	up-regulated	
miR-210	MIMAT0000267	Vincristine 	approved	DB00541	5978	Quantitative real-time PCR	Homo sapiens	Hep-2 cells 	23780424	2013	Identification of microRNAs and mRNAs associated with multidrug resistance of human laryngeal cancer Hep-2 cells.	A total of 7 differentially expressed miRNAs were identified when Hep-2 and Hep-2/v cells were compared by microarray analysis (Table 1 and Figure 3A).	up-regualted	
miR-210	MIMAT0000267	Lenalidomide	approved	DB00480	216326	Quantitative real-time PCR	Homo sapiens	peripheral blood CD14+ monocytes	25287904	2014	Genome-wide miRNA profiling in myelodysplastic syndrome with del(5q) treated with lenalidomide	Of these,6 miRNAs were upregulated (miR-34a*, miR-34a, miR-451, HS_241.1, miR-196b, and miR-98) and 14 were downregulated (eg, miR-449a, miR-193a-3p, miR-300, miR-378*, let-7i*, and miR-15a*) in patients vs controls.	down-regulated	
miR-210	MIMAT0000267	Arsenic trioxide	approved	DB01169	14888	Microarray	Homo sapiens 	lymphoblast cell line TK-6	17108120	2006	MicroRNA responses to cellular stress.	The miRNAs with statistically significantly altered expression in the folate-deficient and arsenic exposure groups are listed in Table 1 , with the magnitude of their alteration being generally not larger than 2- to 3-fold relative to expression in the control groups.	down-regulated	
miR-210	MIMAT0000267	5-Fluorouracil 	approved	DB00544	3385	Quantitative real-time PCR	Homo sapiens 	colon cancer cells	17702597	2007	Modification of miR gene expression pattern in human colon cancer cells following exposure to 5-fluorouracil in vitro.	As shown in Fig. 1, 22 miR genes were found to be consistently dysregulated by drug treatment of C22.20 cell clone.	down-regulated	
miR-210	MIMAT0000267	Arsenic trioxide	approved	DB01169	14888	Microarray	Homo sapiens 	HepG-2 human hepatocellular carcinoma cell line 	21175813	2011	microRNA expression alteration after arsenic trioxide treatment in HepG-2 cells.	 If only changes above two folds were considered, four miRNA were identified, namely miR-24, miR-29a, miR-30a and miR-210, which were all upregulated. 	up-regulated	
miR-210	MIMAT0000267	Arsenic trioxide	approved	DB01169	14888	Quantitative real-time PCR	Homo sapiens 	HepG-2 human hepatocellular carcinoma cell line 	21175813	2011	microRNA expression alteration after arsenic trioxide treatment in HepG-2 cells.	 If only changes above two folds were considered, four miRNA were identified, namely miR-24, miR-29a, miR-30a and miR-210, which were all upregulated. 	up-regulated	
miR-210	MIMAT0000267	Arsenic trioxide	approved	DB01169	14888	Quantitative real-time PCR	Homo sapiens 	HepG-2 human hepatocellular carcinoma cell line 	21175813	2011	microRNA expression alteration after arsenic trioxide treatment in HepG-2 cells.	 If only changes above two folds were considered, four miRNA were identified, namely miR-24, miR-29a, miR-30a and miR-210, which were all upregulated. 	up-regulated	
miR-210	MIMAT0000267	Ginsenoside Rh2	NULL	NULL	119307	Microarray	Homo sapiens 	human glioma cells U251	21372826	2011	Ginsenoside Rh2 inhibits glioma cell proliferation by targeting microRNA-128.	Table 1 summarizes the results of Rh2-regulated miRNAs and their chromosomal locations are summarized.Of the 452 human miRNAs tested the microarray, 14 miRNAs were up-regulated and 12 miRNAs were down-regulated in the Rh2-treated U251 cells. 	down-regulated	
miR-210	MIMAT0000267	Aidi injection 	NULL	NULL	NULL	Microarray	Homo sapiens 	human breast cancer cells	21563499	2011	Aidi injection alters the expression profiles of microRNAs in human breast cancer cells.	Among them, 45 miRNAs were upregulated and 55 miRNAs were down-regulated significantly (P<0.05), miRNAs down-regulated being more than up-regulated for ADI treatment.	down-regulated	
miR-210	MIMAT0000267	5-aza-2'-deoxycytidine (5-Aza-CdR)	approved	DB01262	451668	Microarray	Homo sapiens 	breast cancer HB2	22076154	2011	Integrated epigenetics of human breast cancer: synoptic investigation of targeted genes, microRNAs and proteins upon demethylation treatment.	Several oncosuppressor miRNAs showed significant up/down-regulation after DAC treatment but the dysregulation of the most important ones or miRNAs were detected in both early and late passages after treatment (table 2). 	down-regulated	
miR-210	MIMAT0000267	5-aza-2'-deoxycytidine (5-Aza-CdR)	approved	DB01262	451668	Microarray	Homo sapiens 	breast cancer MDA-MB231	22076154	2011	Integrated epigenetics of human breast cancer: synoptic investigation of targeted genes, microRNAs and proteins upon demethylation treatment.	Several oncosuppressor miRNAs showed significant up/down-regulation after DAC treatment but the dysregulation of the most important ones or miRNAs were detected in both early and late passages after treatment (table 2). 	down-regulated	
miR-210	MIMAT0000267	5-aza-2'-deoxycytidine (5-Aza-CdR)	approved	DB01262	451668	Microarray	Homo sapiens 	breast cancer SKBR3	22076154	2011	Integrated epigenetics of human breast cancer: synoptic investigation of targeted genes, microRNAs and proteins upon demethylation treatment.	Several oncosuppressor miRNAs showed significant up/down-regulation after DAC treatment but the dysregulation of the most important ones or miRNAs were detected in both early and late passages after treatment (table 2). 	down-regulated	
miR-210	MIMAT0000267	Trastuzumab	approved	DB00072	NULL	Microarray	Homo sapiens 	HER2-positive breast cancer 	22384020	2012	Trastuzumab produces therapeutic actions by upregulating miR-26a and miR-30b in breast cancer cells.	Fourth, the relative fold-change (fold change of microRNAs – average fold change of the microRNAs in MCF7 and MBA-MD-231 cells) of the remaining microRNAs, and microRNAs with more than a 1.5-fold up/down-regulation, were listed in Table 1.	down-regulated	
miR-210	MIMAT0000267	Trastuzumab	approved	DB00072	NULL	Quantitative real-time PCR	Homo sapiens 	HER2-positive breast cancer 	22384020	2012	Trastuzumab produces therapeutic actions by upregulating miR-26a and miR-30b in breast cancer cells.	Among the listed microRNAs, we selected seven microRNAs (miR-18a, miR-21, miR-26a, miR-26b, miR-30b, miR98 and miR-210) to validate the array-based expression data by Taqman quantitative RT-PCR	down-regulated	
miR-210	MIMAT0000267	Trastuzumab 	approved	DB00072	NULL	Microarray	Homo sapiens 	BT474 cells	22384020	2012	Trastuzumab produces therapeutic actions by upregulating miR-26a and miR-31b in breast cancer cells.	Next, we conducted a microRNA profiling analysis using these samples to screen those microRNAs that were up- or down-regulated only in HER2-positive cells. This analysis identified miR-26a and miR-31b as trastuzumab-inducible microRNAs. 	down-regulated	
miR-210	MIMAT0000267	Curcumin	NULL	NULL	969516	Quantitative real-time PCR	Homo sapiens 	Y79 RB cells.	22510010	2012	Effect of curcumin on miRNA expression in human Y79 retinoblastoma cells.	In Y79 RB cells treated with curcumin, 5 human miRNAs were upregulated and 16 were downregulated as detected with the miRNA microarray analysis. miR-22, a tumor-suppressor miRNA was one of the miRNA which was upregulated by curcumin. 	down-regulated	
miR-210	MIMAT0000267	Bicalutamide	approved	DB01128	2375	Microarray	Homo sapiens 	prostate	22674191	2012	Goserelin and bicalutamide treatments alter the expression of microRNAs in the prostate.	The expression of 52, 44, and 34 miRNAs was affected >1.4-fold by the endocrine treatment in the cancer, non-malignant epithelium, and stromal compartments, respectively. Of the 52 miRNAs, only 10 were equally affected by the two treatment modalities in the cancer compartment. 	down-regulated	
miR-210	MIMAT0000267	Goserelin	approved	DB00014	47725	Microarray	Homo sapiens 	prostate	22674191	2012	Goserelin and bicalutamide treatments alter the expression of microRNAs in the prostate.	The expression of 52, 44, and 34 miRNAs was affected >1.4-fold by the endocrine treatment in the cancer, non-malignant epithelium, and stromal compartments, respectively. Of the 52 miRNAs, only 10 were equally affected by the two treatment modalities in the cancer compartment. 	down-regulated	
miR-210	MIMAT0000267	Olea europaea leaf extract  	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	glioblastoma cells.	22722712	2012	Olea europaea leaf extract alters microRNA expression in human glioblastoma cells.	Specifically, miR-181b, miR-153, miR-145, miR-137, and let-11d were significantly upregulated after treatment with both TMZ and OLE.	up-regulated	
miR-210	MIMAT0000267	Temozolomide	approved	DB00853	5394	Quantitative real-time PCR	Homo sapiens 	glioblastoma cells.	22722712	2012	Olea europaea leaf extract alters microRNA expression in human glioblastoma cells.	Specifically, miR-181b, miR-153, miR-145, miR-137, and let-11d were significantly upregulated after treatment with both TMZ and OLE.	up-regulated	
miR-210	MIMAT0000881	Nicotine	approved	DB00184	89594	Microarray	Rattus norvegicus 	Rat  adrenal  pheochromocytoma  PC12 cell	18845019	2009	Nicotine modulates expression of miR-140*, which targets the 3'-untranslated region of dynamin 1 gene (Dnm1).	Of most importance,  we  identified  25  miRNAs  whose  expressions were sensitive to nicotine stimulation, 11 up-regulated and 14 down-regulated by nicotine (Table 1).	down-regulated	
miR-210	MIMAT0000881	Comfrey	NULL	NULL	6440495	Microarray	Rattus norvegicus 	rat liver	21370286	2011	MicroRNAs and their predicted target messenger RNAs are deregulated by exposure to a carcinogenic dose of comfrey in rat liver.	Overall,  microarray  analysis  identified  a  total  of  45 miRNAs  (Table  I)  whose  expression  was  significantly changed  by  the  comfrey  treatment  (P  <  0.01).  	up-regulated	
miR-211	MIMAT0000268	Gemcitabine	approved	DB00441	60750	Northern blot	Homo sapiens 	Mz-ChA-1 human cholangiocarcinoma cell lines  	16762633	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.	Gemcitabine  treatment  resulted  in  a  greater  than 2-fold increase in the expression of a group of miRNA that included miR-202, miR-320, miR-374, miR-1-2,miR-16-1,  miR-24-1, let7f-2,  let7a-1,  and  miR-374(Table 3). 	down-regulated	
